id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank
224517,"Brass: Birmingham",2018,1,8.40099,8.57485,53878,0,,,,,,1,,
161936,"Pandemic Legacy: Season 1",2015,2,8.35729,8.51101,56155,0,,,,,,3,1,
342942,"Ark Nova",2021,3,8.3526,8.54023,54945,0,,,,,,2,,
174430,Gloomhaven,2017,4,8.31792,8.55673,65550,0,,,,,,4,2,
233078,"Twilight Imperium: Fourth Edition",2017,5,8.22496,8.57222,26789,0,,,,,,5,4,
316554,"Dune: Imperium",2020,6,8.22477,8.41694,54240,0,,,,,,7,,
167791,"Terraforming Mars",2016,7,8.19717,8.34622,108330,0,,,,,,8,,
115746,"War of the Ring: Second Edition",2011,8,8.19222,8.54867,23805,0,,,,,,,3,1
187645,"Star Wars: Rebellion",2016,9,8.16873,8.41795,35076,0,,,,,,,6,
397598,"Dune: Imperium – Uprising",2023,10,8.16225,8.70764,13778,0,,,,,,6,,
162886,"Spirit Island",2017,11,8.14148,8.34071,59111,0,,,,,,10,,
291457,"Gloomhaven: Jaws of the Lion",2020,12,8.11698,8.38168,38815,0,,,,,,11,7,
220308,"Gaia Project",2017,13,8.09326,8.35838,29951,0,,,,,,9,,
12333,"Twilight Struggle",2005,14,8.04905,8.23437,50983,0,,,,,,14,,2
182028,"Through the Ages: A New Story of Civilization",2015,15,8.02844,8.25989,33806,0,,,,,,13,,
84876,"The Castles of Burgundy",2011,16,8.02286,8.15184,66964,0,,,,,,16,,
193738,"Great Western Trail",2016,17,7.99021,8.16228,42891,0,,,,,,17,,
246900,"Eclipse: Second Dawn for the Galaxy",2020,18,7.96631,8.40804,16112,0,,,,,,15,,
169786,Scythe,2016,19,7.96093,8.11422,90004,0,,,,,,25,,
28720,"Brass: Lancashire",2007,20,7.96011,8.19815,26455,0,,,,,,18,,
173346,"7 Wonders Duel",2015,21,7.95929,8.08344,104102,0,,,,,,26,,
295770,Frosthaven,2022,22,7.95783,8.76994,9108,0,,,,,,12,5,
167355,Nemesis,2018,23,7.9506,8.25447,34990,0,,,,,,,12,
177736,"A Feast for Odin",2016,24,7.94478,8.16698,31795,0,,,,,,21,,
266507,"Clank! Legacy: Acquisitions Incorporated",2019,25,7.94378,8.51048,10723,0,,,,,,,8,
124361,Concordia,2013,26,7.93124,8.08384,43534,0,,,,,,23,,
312484,"Lost Ruins of Arnak",2020,27,7.90208,8.07199,52275,0,,,,,,32,,
341169,"Great Western Trail: Second Edition",2021,28,7.9018,8.28081,16222,0,,,,,,20,,
205637,"Arkham Horror: The Card Game",2016,29,7.89775,8.12599,46374,0,,2,,,,,13,
237182,Root,2018,30,7.88329,8.06988,59650,0,,,,,,37,,13
421006,"The Lord of the Rings: Duel for Middle-earth",2024,31,7.88327,8.36889,13315,0,,,,1,,24,,
338960,"Slay the Spire: The Board Game",2024,32,7.87087,8.68668,8361,0,,,,,,19,,
192135,"Too Many Bones",2017,33,7.87054,8.3141,15960,0,,,,,,29,10,
373106,"Sky Team",2023,34,7.86944,8.15258,24064,0,,,,2,,,14,
418059,"SETI: Search for Extraterrestrial Intelligence",2024,35,7.86835,8.39429,12422,0,,,,,,22,,
120677,"Terra Mystica",2012,36,7.86791,8.03859,50000,0,,,,,,34,,
266192,Wingspan,2019,37,7.8613,8.013,106121,0,,,,5,,46,,
164928,Orléans,2014,38,7.86086,8.04842,34215,0,,,,,,33,,
96848,"Mage Knight Board Game",2011,39,7.84053,8.07997,34542,0,,,,,,38,17,
251247,Barrage,2019,40,7.83991,8.14397,20289,0,,,,,,31,,
199792,Everdell,2018,41,7.82101,7.99638,63798,0,,,,7,,49,,
324856,"The Crew: Mission Deep Sea",2021,42,7.81937,8.07771,22865,0,,,,4,,35,,
183394,"Viticulture Essential Edition",2015,43,7.81757,7.96806,53043,0,,,,,,44,,
321608,"Hegemony: Lead Your Class to Victory",2023,44,7.8107,8.41506,10313,0,,,,,,27,,
366013,"Heat: Pedal to the Metal",2022,45,7.79474,8.01316,34814,0,,,,8,,,,
285774,"Marvel Champions: The Card Game",2019,46,7.79129,8.11168,26454,0,,3,,,,,,
521,Crokinole,1876,47,7.78872,8.05604,20114,0,,,,6,,,,
284378,"Kanban EV",2020,48,7.78814,8.38834,9345,0,,,,,,28,,
175914,"Food Chain Magnate",2015,49,7.77837,8.04148,22099,0,,,,,,41,,
247763,"Underwater Cities",2018,50,7.77384,8.04356,21827,0,,,,,,40,,
256960,"Pax Pamir: Second Edition",2019,51,7.77191,8.13847,16458,0,,,,,,39,,
3076,"Puerto Rico",2002,52,7.75914,7.90242,73091,0,,,,,,55,,
253344,"Cthulhu: Death May Die",2019,53,7.75655,8.18839,15546,0,,,,,,,15,
295947,Cascadia,2021,54,7.74902,7.9116,49713,0,1,,,10,,,,
184267,"On Mars",2020,55,7.74376,8.16974,14126,0,,,,,,42,,
314040,"Pandemic Legacy: Season 0",2020,56,7.74313,8.35383,8973,0,,,,,,36,11,
102794,"Caverna: The Cave Farmers",2013,57,7.74271,7.93023,36549,0,,,,,,51,,
383179,"Age of Innovation",2023,58,7.74112,8.51511,7194,0,,,,,,30,,
185343,Anachrony,2017,59,7.74016,8.05192,20635,0,,,,,,48,,
170216,"Blood Rage",2015,60,7.73401,7.90814,50319,0,,,,,,59,,
31260,Agricola,2007,61,7.73265,7.86277,75393,0,,,,,,57,,
251661,"Oathsworn: Into the Deepwood",2022,62,7.7214,8.81854,6238,0,,,,,,,9,
161533,Lisboa,2017,63,7.71074,8.1735,12285,0,,,,,,45,,
255984,"Sleeping Gods",2021,64,7.70974,8.1289,14720,0,,,,,,,20,
231733,Obsession,2018,65,7.70851,8.08871,16145,0,,,,,,50,21,
365717,"Clank!: Catacombs",2022,66,7.7083,8.24933,10756,0,,,,9,,47,,
182874,"Grand Austria Hotel",2015,67,7.70806,7.95893,23624,0,,,,,,53,,
221107,"Pandemic Legacy: Season 2",2017,68,7.70166,8.01917,17839,0,,,,,,54,19,
414317,Harmonies,2024,69,7.68944,8.02637,20486,0,3,,,12,,,,
205059,"Mansions of Madness: Second Edition",2016,70,7.6892,7.924,39038,0,,,,,,,26,
126163,"Tzolk'in: The Mayan Calendar",2012,71,7.68716,7.84937,41390,0,,,,,,65,,
2651,"Power Grid",2004,72,7.68606,7.80116,68113,0,,,,,,71,,
390092,"Ticket to Ride Legacy: Legends of the West",2023,73,7.67858,8.66901,5357,0,,,,3,,,,
244521,Quacks,2018,74,7.67071,7.80801,56000,0,,,,13,,,,
216132,"Clans of Caledonia",2017,75,7.66711,7.93392,21676,0,,,,,,62,,
266810,"Paladins of the West Kingdom",2019,76,7.66545,7.96223,19640,0,,,,,,60,,
35677,"Le Havre",2008,77,7.66412,7.83732,33157,0,,,,,,68,,
125153,"The Gallerist",2015,78,7.66276,8.01032,15873,0,,,,,,56,,
164153,"Star Wars: Imperial Assault",2014,79,7.6569,7.95753,25505,0,,,,,,,27,
276025,Maracaibo,2019,80,7.65626,7.96711,18020,0,,,,,,61,,
124742,"Android: Netrunner",2012,81,7.65532,7.88989,30945,0,,5,,,,,,
371942,"The White Castle",2023,82,7.6525,7.99386,18042,0,,,,,,69,,
200680,"Agricola (Revised Edition)",2016,83,7.64622,7.95367,20162,0,,,,,,72,,
209010,"Mechs vs. Minions",2016,84,7.63825,7.95995,18036,0,,,,,,73,24,
240980,"Blood on the Clocktower",2022,85,7.63479,8.37276,9075,0,,,,,1,66,,
284083,"The Crew: The Quest for Planet Nine",2019,86,7.63138,7.77096,46323,0,,,,14,,,,
55690,"Kingdom Death: Monster",2015,87,7.62722,8.47859,10166,0,,,,,,,18,
380607,"Great Western Trail: New Zealand",2023,88,7.62421,8.49818,5790,0,,,,,,43,,
28143,"Race for the Galaxy",2007,89,7.6205,7.73908,57802,0,,,,,,78,,
332772,Revive,2022,90,7.61682,8.09519,11102,0,,,,,,63,,
230802,Azul,2017,91,7.61563,7.72536,102107,0,2,,,16,,,,
157354,"Five Tribes: The Djinns of Naqala",2014,92,7.61315,7.76649,44032,0,,,,,,82,,
322289,"Darwin's Journey",2023,93,7.61016,8.11293,10607,0,,,,,,64,,
366161,"Wingspan Asia",2022,94,7.60387,8.23489,8754,0,,,,11,,70,,
201808,"Clank!: A Deck-Building Adventure",2016,95,7.60361,7.76715,45739,0,,,,18,,92,,
159675,"Fields of Arle",2014,96,7.60064,8.02881,11962,0,,,,,,67,,
72125,"Eclipse: New Dawn for the Galaxy",2011,97,7.59699,7.82158,28855,0,,,,,,83,,
191189,"Aeon's End",2016,98,7.59067,7.87477,22967,0,,,,,,89,,
93,"El Grande",1995,99,7.58793,7.76516,31699,0,,,,,,81,,
291453,SCOUT,2019,100,7.58627,7.81211,24108,0,,,,15,,,,